catalogue_obsid|catalogue_obsdate|catalogue_lmjd|catalogue_mjd|catalogue_planid|catalogue_spid|catalogue_fiberid|catalogue_class|catalogue_subclass|catalogue_z|catalogue_ra|catalogue_dec|stellar_teff|stellar_logg|stellar_feh|stellar_rv|obsfits_file
505303181|2017-01-01|57755|57754|GAC085S03M1|3|181|GALAXY|Non|0.0991730000|84.0413540000|-3.5807600000|||||20170101/GAC085S03M1/spec-57755-GAC085S03M1_sp03-181.fits.gz
505402107|2017-01-01|57755|57754|HD093318N282204M02|2|107|GALAXY|Non|0.0435190000|142.0420908000|26.4061221000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-107.fits.gz
505402169|2017-01-01|57755|57754|HD093318N282204M02|2|169|GALAXY|Non|0.0198250000|141.0807200000|27.1276040000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-169.fits.gz
505402181|2017-01-01|57755|57754|HD093318N282204M02|2|181|GALAXY|Non|0.0479770000|141.3330536000|27.2509598000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-181.fits.gz
505402215|2017-01-01|57755|57754|HD093318N282204M02|2|215|GALAXY|Non|0.0433860000|141.8466817000|26.4023138000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-215.fits.gz
505412053|2017-01-01|57755|57754|HD093318N282204M02|12|53|GALAXY|Non|0.0634880000|144.5699368000|30.1525922000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp12-053.fits.gz
505412099|2017-01-01|57755|57754|HD093318N282204M02|12|99|GALAXY|Non|0.1526230000|144.4933750000|29.5785830000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp12-099.fits.gz
505412115|2017-01-01|57755|57754|HD093318N282204M02|12|115|GALAXY|Non|0.1156220000|145.3128750000|29.9400560000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp12-115.fits.gz
505412143|2017-01-01|57755|57754|HD093318N282204M02|12|143|GALAXY|Non|0.1096060000|144.1174520000|29.8854980000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp12-143.fits.gz
505412158|2017-01-01|57755|57754|HD093318N282204M02|12|158|GALAXY|Non|0.0019192900|145.0535100000|29.5917600000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp12-158.fits.gz
