catalogue_obsid|catalogue_obsdate|catalogue_lmjd|catalogue_mjd|catalogue_planid|catalogue_spid|catalogue_fiberid|catalogue_class|catalogue_subclass|catalogue_z|catalogue_ra|catalogue_dec|stellar_teff|stellar_logg|stellar_feh|stellar_rv|obsfits_file
505402017|2017-01-01|57755|57754|HD093318N282204M02|2|17|QSO|Non|2.5877300000|142.0440757000|26.5043770000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-017.fits.gz
505402030|2017-01-01|57755|57754|HD093318N282204M02|2|30|QSO|Non|1.3508300000|141.8843000000|27.0125300000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-030.fits.gz
505402050|2017-01-01|57755|57754|HD093318N282204M02|2|50|QSO|Non|2.0500000000|141.4603400000|26.8222980000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-050.fits.gz
505402079|2017-01-01|57755|57754|HD093318N282204M02|2|79|QSO|Non|0.9301480000|141.4797931000|26.7755558000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-079.fits.gz
505402128|2017-01-01|57755|57754|HD093318N282204M02|2|128|QSO|Non|0.4091530000|141.8312000000|26.8706810000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-128.fits.gz
505402198|2017-01-01|57755|57754|HD093318N282204M02|2|198|QSO|Non|1.0979210000|141.7479100000|27.1849220000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-198.fits.gz
505402224|2017-01-01|57755|57754|HD093318N282204M02|2|224|QSO|Non|0.9794120000|141.7501061000|26.3396298000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-224.fits.gz
505402232|2017-01-01|57755|57754|HD093318N282204M02|2|232|QSO|Non|1.8211790000|142.2940500000|26.9972850000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-232.fits.gz
505402239|2017-01-01|57755|57754|HD093318N282204M02|2|239|QSO|Non|1.3097470000|142.1452500000|27.0295910000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp02-239.fits.gz
505412043|2017-01-01|57755|57754|HD093318N282204M02|12|43|QSO|Non|1.3224400000|144.6844770000|30.2983790000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp12-043.fits.gz
505412049|2017-01-01|57755|57754|HD093318N282204M02|12|49|QSO|Non|1.1200000000|144.7462900000|30.2329370000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp12-049.fits.gz
505412073|2017-01-01|57755|57754|HD093318N282204M02|12|73|QSO|Non|1.0000000000|144.3254791000|30.2050445000|||||20170101/HD093318N282204M02/spec-57755-HD093318N282204M02_sp12-073.fits.gz
